EmpleadoID,Nombre,Apellido,Email,SucursalID,FechaIngreso,Cargo,Activo
1,Carlos,García,carlos.garcía1@tiendalatam.com,1,01/04/2020,Gerente de Sucursal,1
2,María,López,maría.lópez2@tiendalatam.com,2,10/04/2023,Jefe de Ventas,1
3,Juan,Martínez,juan.martínez3@tiendalatam.com,3,18/01/2021,Vendedor Senior,1
4,Ana,Rodríguez,ana.rodríguez4@tiendalatam.com,4,30/09/2020,Vendedor Junior,1
5,Luis,González,luis.gonzález5@tiendalatam.com,5,19/03/2020,Cajero,1
6,Laura,Hernández,laura.hernández6@tiendalatam.com,6,16/05/2023,Asesor de Cliente,1
7,Roberto,Pérez,roberto.pérez7@tiendalatam.com,7,19/04/2022,Gerente de Sucursal,1
8,Carmen,Sánchez,carmen.sánchez8@tiendalatam.com,8,10/11/2020,Jefe de Ventas,1
9,Diego,Ramírez,diego.ramírez9@tiendalatam.com,9,23/11/2018,Vendedor Senior,1
10,Sofía,Torres,sofía.torres10@tiendalatam.com,10,12/09/2020,Vendedor Junior,1
11,Andrés,Flores,andrés.flores11@tiendalatam.com,11,02/11/2018,Cajero,1
12,Valentina,Rivera,valentina.rivera12@tiendalatam.com,12,24/11/2021,Asesor de Cliente,1
13,Miguel,Morales,miguel.morales13@tiendalatam.com,13,16/10/2019,Gerente de Sucursal,1
14,Camila,Castro,camila.castro14@tiendalatam.com,14,28/11/2018,Jefe de Ventas,1
15,Pablo,Ortiz,pablo.ortiz15@tiendalatam.com,15,22/07/2022,Vendedor Senior,1
16,Isabella,Ramos,isabella.ramos16@tiendalatam.com,16,06/04/2023,Vendedor Junior,1
17,Alejandro,Díaz,alejandro.díaz17@tiendalatam.com,17,14/07/2020,Cajero,1
18,Lucía,Cruz,lucía.cruz18@tiendalatam.com,18,15/09/2020,Asesor de Cliente,1
19,Mateo,Reyes,mateo.reyes19@tiendalatam.com,19,13/08/2021,Gerente de Sucursal,1
20,Paula,Vargas,paula.vargas20@tiendalatam.com,20,11/01/2023,Jefe de Ventas,1
21,Carlos,García,carlos.garcía21@tiendalatam.com,1,20/01/2022,Vendedor Senior,1
22,María,López,maría.lópez22@tiendalatam.com,2,11/04/2019,Vendedor Junior,1
23,Juan,Martínez,juan.martínez23@tiendalatam.com,3,06/06/2021,Cajero,1
24,Ana,Rodríguez,ana.rodríguez24@tiendalatam.com,4,16/03/2023,Asesor de Cliente,1
25,Luis,González,luis.gonzález25@tiendalatam.com,5,05/02/2021,Gerente de Sucursal,1
26,Laura,Hernández,laura.hernández26@tiendalatam.com,6,19/08/2018,Jefe de Ventas,1
27,Roberto,Pérez,roberto.pérez27@tiendalatam.com,7,04/09/2022,Vendedor Senior,1
28,Carmen,Sánchez,carmen.sánchez28@tiendalatam.com,8,27/01/2020,Vendedor Junior,1
29,Diego,Ramírez,diego.ramírez29@tiendalatam.com,9,18/06/2021,Cajero,1
30,Sofía,Torres,sofía.torres30@tiendalatam.com,10,25/04/2021,Asesor de Cliente,1
31,Andrés,Flores,andrés.flores31@tiendalatam.com,11,03/02/2021,Gerente de Sucursal,1
32,Valentina,Rivera,valentina.rivera32@tiendalatam.com,12,12/11/2021,Jefe de Ventas,1
33,Miguel,Morales,miguel.morales33@tiendalatam.com,13,26/10/2018,Vendedor Senior,1
34,Camila,Castro,camila.castro34@tiendalatam.com,14,02/09/2019,Vendedor Junior,1
35,Pablo,Ortiz,pablo.ortiz35@tiendalatam.com,15,25/12/2021,Cajero,1
36,Isabella,Ramos,isabella.ramos36@tiendalatam.com,16,22/11/2020,Asesor de Cliente,1
37,Alejandro,Díaz,alejandro.díaz37@tiendalatam.com,17,23/06/2022,Gerente de Sucursal,1
38,Lucía,Cruz,lucía.cruz38@tiendalatam.com,18,11/08/2019,Jefe de Ventas,1
39,Mateo,Reyes,mateo.reyes39@tiendalatam.com,19,03/10/2021,Vendedor Senior,1
40,Paula,Vargas,paula.vargas40@tiendalatam.com,20,29/09/2019,Vendedor Junior,1
